cloud_h2d_tp_ms,cloud_d2h_ms,cloud_worker_ms,cloud_body_read_ms,cloud_unpack_ms,cloud_executor_ms,cloud_dispatch_ms,rows,activation_bytes,upload_wire_bytes,download_wire_bytes,enterprise_d2h_ms,enterprise_pack_ms,rpc_ms,enterprise_unpack_ms,enterprise_h2d_tp_ms,gpu_ready_rtt_ms,cloud_pack_ms,upload_path_ms,download_path_ms,http_transport_ms,cloud_ipc_residual_ms,validation_ok,variant,pass_id,sample,warmup
0.195152,0.040539,0.235691,0.029646,0.031377,0.440812,0.036578,1,8192,8335,8515,0.06487,0.034901,11.224511,0.035738,0.225955,11.586088,0.025392,5.363597,5.324985,10.688582,0.20512099999999997,True,baseline,0,3,False
0.177733,0.038843,0.216576,0.028945,0.030535,0.433638,0.034376,1,8192,8335,8515,0.081665,0.032507,11.427616,0.036595,0.27585,11.854344,0.025447,5.579591,5.320696,10.900286999999999,0.21706200000000003,True,baseline,0,4,False
0.186968,0.059251,0.246219,0.02851,0.032464,0.446724,0.033711,1,8192,8335,8514,0.06294,0.035055,11.193959,0.035632,0.22921,11.556893,0.02427,5.34916,5.305818,10.654978,0.20050500000000002,True,baseline,0,5,False
0.18581,0.050271,0.236081,0.028818,0.031652,0.435142,0.034619,1,8192,8335,8514,0.065109,0.034316,11.199171,0.035264,0.237437,11.571388,0.023117,5.358662,5.314143,10.672805,0.19906099999999996,True,baseline,0,6,False
0.18217,0.05935,0.24152,0.029304,0.030433,0.448761,0.033885,1,8192,8335,8512,0.061573,0.032582,11.194011,0.034396,0.239912,11.562588,0.025006,5.347811,5.306331,10.654142,0.207241,True,baseline,0,7,False
0.179372,0.052319,0.231691,0.024911,0.028702,0.421574,0.031336,1,8192,8335,8515,0.064904,0.033063,11.172017,0.03602,0.203567,11.509677,0.023096,5.352768,5.313023,10.665791,0.189883,True,baseline,0,8,False
0.179127,0.054603,0.23373,0.024034,0.028457,0.426648,0.031886,1,8192,8335,8514,0.061118,0.031801,11.161448,0.035481,0.228907,11.518864,0.023128,5.335597,5.314058,10.649655,0.19291800000000003,True,baseline,0,9,False
0.185552,0.050628,0.23618,0.023784,0.027979,0.427664,0.030909,1,8192,8335,8514,0.065407,0.033692,11.156892,0.033851,0.216269,11.506227,0.021439,5.345097,5.30234,10.647437,0.191484,True,baseline,0,10,False
0.208829,0.044256,0.253085,0.031498,0.030098,0.470632,0.033234,4,32768,32913,33093,0.069123,0.04204,11.266045,0.036803,0.277266,11.691388,0.026696,5.359389,5.344251,10.70364,0.217547,True,baseline,0,3,False
0.189009,0.042555,0.231564,0.031508,0.029905,0.44288,0.031852,4,32768,32913,33092,0.079314,0.041288,11.230271,0.037717,0.257553,11.646248,0.025052,5.352843,5.346192,10.699035,0.211316,True,baseline,0,4,False
