variant,activation_bytes_each_direction,activation_mib_each_direction,samples,rows,gpu_ready_rtt_ms_mean,gpu_ready_rtt_ms_p50,gpu_ready_rtt_ms_p95,gpu_ready_rtt_ms_std,rpc_ms_mean,rpc_ms_p50,rpc_ms_p95,rpc_ms_std,http_transport_ms_mean,http_transport_ms_p50,http_transport_ms_p95,http_transport_ms_std,upload_path_ms_mean,upload_path_ms_p50,upload_path_ms_p95,upload_path_ms_std,download_path_ms_mean,download_path_ms_p50,download_path_ms_p95,download_path_ms_std,enterprise_d2h_ms_mean,enterprise_d2h_ms_p50,enterprise_d2h_ms_p95,enterprise_d2h_ms_std,enterprise_pack_ms_mean,enterprise_pack_ms_p50,enterprise_pack_ms_p95,enterprise_pack_ms_std,enterprise_unpack_ms_mean,enterprise_unpack_ms_p50,enterprise_unpack_ms_p95,enterprise_unpack_ms_std,enterprise_h2d_tp_ms_mean,enterprise_h2d_tp_ms_p50,enterprise_h2d_tp_ms_p95,enterprise_h2d_tp_ms_std,cloud_body_read_ms_mean,cloud_body_read_ms_p50,cloud_body_read_ms_p95,cloud_body_read_ms_std,cloud_unpack_ms_mean,cloud_unpack_ms_p50,cloud_unpack_ms_p95,cloud_unpack_ms_std,cloud_dispatch_ms_mean,cloud_dispatch_ms_p50,cloud_dispatch_ms_p95,cloud_dispatch_ms_std,cloud_executor_ms_mean,cloud_executor_ms_p50,cloud_executor_ms_p95,cloud_executor_ms_std,cloud_worker_ms_mean,cloud_worker_ms_p50,cloud_worker_ms_p95,cloud_worker_ms_std,cloud_h2d_tp_ms_mean,cloud_h2d_tp_ms_p50,cloud_h2d_tp_ms_p95,cloud_h2d_tp_ms_std,cloud_d2h_ms_mean,cloud_d2h_ms_p50,cloud_d2h_ms_p95,cloud_d2h_ms_std,cloud_pack_ms_mean,cloud_pack_ms_p50,cloud_pack_ms_p95,cloud_pack_ms_std,cloud_ipc_residual_ms_mean,cloud_ipc_residual_ms_p50,cloud_ipc_residual_ms_p95,cloud_ipc_residual_ms_std,upload_wire_bytes_mean,download_wire_bytes_mean
baseline,8192,0.0078125,16,1,11.7029361875,11.7210465,11.92372725,0.15332403377496728,11.3353435625,11.369024,11.5476065,0.14274405947795565,10.7170515625,10.6967855,10.887422999999998,0.07396690485021704,5.3840798125000005,5.3608744999999995,5.5491965,0.06759696984723007,5.3329717500000005,5.3318995000000005,5.37374975,0.023144479029835574,0.06462174999999999,0.0637355,0.06982325,0.004654371553980193,0.032924875000000006,0.0325815,0.0349395,0.0011438983715238867,0.036400625,0.036567,0.038288749999999996,0.0012677879295745799,0.2335390625,0.230399,0.25793325,0.016327138150441237,0.038494,0.0290715,0.07135775,0.03874184953154663,0.031803,0.032302,0.034473750000000004,0.002064560304277887,0.03843675,0.037271,0.049839,0.006323169137189042,0.5170351875000001,0.49396000000000007,0.719273,0.1019454355686283,0.2476624375,0.24386950000000002,0.27464125,0.016937763230311542,0.2010016875,0.19526949999999998,0.2312635,0.019463714701075017,0.04666075,0.043451000000000004,0.05927575,0.006556868998424476,0.028828375,0.027091999999999998,0.037358,0.005679776908856104,0.26937275,0.24580200000000005,0.45465049999999996,0.09026158859981637,8335.0,8514.0625
baseline,32768,0.03125,16,4,11.7392215625,11.7226255,11.85883025,0.08697938403794936,11.347461249999999,11.348275000000001,11.471715,0.09838929274094066,10.7224820625,10.7192225,10.758604,0.02210941808502884,5.365900875,5.370031,5.383776,0.012772801889537536,5.3565811875,5.348662,5.38063075,0.014380439797772029,0.06772881250000001,0.066828,0.07288275,0.003704509805945146,0.0381116875,0.038251499999999994,0.041476,0.002350646206863923,0.0377326875,0.037447,0.03967875,0.0010968407313022923,0.2480776875,0.250311,0.27423074999999997,0.01708930780385337,0.034929,0.0347555,0.03965175,0.0036140883186496706,0.032323624999999995,0.0317805,0.035788,0.0025031332334446354,0.0381603125,0.036097500000000005,0.050646250000000004,0.006887296809332655,0.5221109375,0.5241665,0.6022265,0.06646313598291607,0.26016562499999996,0.2613835,0.2906335,0.021893756589707825,0.214666875,0.21710000000000002,0.2398925,0.019331813219648462,0.04549875,0.044309,0.051081,0.0032213759773581222,0.030371062499999997,0.0284645,0.03908075,0.005328688798249879,0.26194531249999997,0.2577595,0.324156,0.046778076521911884,32913.0,33091.875
baseline,131072,0.125,16,16,12.102740687499999,12.065694,12.254624,0.09382755181163398,11.616721312500001,11.60229,11.720765,0.056336466299279554,10.8963999375,10.869885499999999,11.024464000000002,0.06724917522493226,5.4320795625,5.425199,5.48150625,0.03009416632000441,5.464320375,5.44974,5.53808125,0.04022059004862288,0.07992356249999999,0.078122,0.09144325,0.0077149822745158515,0.084985,0.060819,0.17300325,0.041905315102919824,0.045433,0.0418235,0.06582425,0.008629386348402766,0.2755664375,0.27780649999999996,0.31943225,0.028454563838619874,0.069560875,0.0667605,0.085954,0.009216408647590178,0.040720687500000005,0.039818,0.04448875,0.002925716487434103,0.048259750000000004,0.046967,0.0555745,0.0035254848691350237,0.587376,0.5864510000000001,0.636863,0.0364036053382766,0.26319075000000003,0.261031,0.28298875,0.011093149933066801,0.206721125,0.2051835,0.22557375,0.01025997937299949,0.056469624999999996,0.056443,0.0590845,0.0015894307894258868,0.0416239375,0.0411995,0.0435625,0.0013443900786578834,0.32418525,0.32562100000000005,0.363428,0.030426691122885853,131220.0,131398.375
baseline,524288,0.5,16,64,13.909364687499998,13.804055,14.4844855,0.4355779006103153,12.975131937499999,12.891183,13.3147465,0.25083047534078395,11.3164301875,11.2926045,11.405074,0.07398549920019704,5.6344518125,5.6369405,5.669923000000001,0.026584663217771736,5.681978375,5.673178500000001,5.76973,0.08248861838601967,0.12656418749999998,0.126019,0.132374,0.004291716224582396,0.42016775,0.4027385,0.7399052500000001,0.26305328075494044,0.07587068749999999,0.07444100000000001,0.08132225,0.0031176489683483848,0.31150806249999996,0.3075935,0.34390575,0.015096952769800718,0.2381734375,0.2436415,0.29360875,0.041926108926850024,0.067866375,0.06671250000000001,0.0757245,0.005039581131837746,0.0502208125,0.049814,0.05444975,0.003201908907564947,1.3231391874999998,1.2822525,1.54843075,0.1689178426699718,0.4069795,0.4063055,0.470497,0.04413318441093958,0.27248206249999996,0.273933,0.31666025000000003,0.023896955165535083,0.13449743749999998,0.1312905,0.1754075,0.02408377739778571,0.2146976875,0.176616,0.38123025,0.1020386805320161,0.9161596875,0.8584765,1.1709239999999999,0.17282757844334287,524438.0,524616.5
baseline,1048576,1.0,16,128,16.63075975,16.660999,17.7952495,1.0415270824115361,15.533041125,15.523280499999998,16.66111675,1.0463162351237838,12.051616375,12.1039435,12.260814,0.16821898521676845,6.0298416875,6.0293105,6.23437775,0.17083493330394936,6.021774687500001,6.000513,6.136991500000001,0.058483300874821106,0.1928344375,0.185872,0.220862,0.02098473283713885,0.36882725,0.343936,0.45840225,0.05995848660583839,0.1360485,0.1329805,0.15790925,0.01289899486878726,0.3998745625,0.39895,0.42973300000000003,0.01547749438284808,0.632451125,0.6308895,0.81977175,0.16711385224446348,0.234373375,0.236867,0.31662875,0.07343919707560381,0.0551218125,0.0547195,0.060399999999999995,0.003562160198158379,2.57437175,2.579712,3.1961565,0.5584116206544573,0.5889364374999999,0.5563885,0.6782042500000001,0.05565065021516904,0.352094,0.35347649999999997,0.36765025,0.010904666598525606,0.2368424375,0.210301,0.31891075,0.04806201010279421,0.6148190625000001,0.6133109999999999,0.923529,0.2621206204764013,1.9854353125,2.0091785,2.6502822499999996,0.6024174697519484,1048729.0,1048906.125
baseline,2097152,2.0,16,256,22.5838131875,23.098249,25.667673,2.9266869077972837,20.384518874999998,20.998631500000002,23.191859,2.6635548379572285,13.815681062500001,13.988335,14.896446749999999,0.9895136549814805,6.8657068125,6.8424365,7.59094875,0.6271260761743026,6.94997425,7.1309640000000005,7.31721975,0.3720867982590722,0.31063925,0.3084515,0.37447175,0.03338656985132644,1.1006002499999998,1.352616,1.41321925,0.35008482818730874,0.26938325,0.232541,0.55158525,0.1166210718381867,0.5185354375,0.515844,0.54574225,0.01537196702592395,1.334469125,1.4376475000000002,1.8355555,0.48912051311293353,0.47314475,0.467883,0.96714175,0.24019126021477652,0.0615455625,0.055883,0.08185100000000001,0.018080961454554727,4.8302111875,5.1396955,5.884016750000001,0.9190040755534779,0.849799125,0.8388765,0.9422085,0.05639784483567943,0.4943369375000001,0.4913375,0.54340525,0.025771924626104156,0.3554621875,0.354514,0.39675275,0.036484953859808336,1.200505625,1.216748,1.8103405000000001,0.5865941318649203,3.9804120625,4.3267895,5.0455685,0.9474998235932863,2097307.0,2097484.375
baseline,4194304,4.0,16,512,48.9765689375,48.311719499999995,54.6805915,4.438999220201307,44.971035812500006,44.6621795,49.856736999999995,3.4924298603643633,32.1151253125,31.8710995,33.27014725,0.7857506012664516,15.79794825,15.796573,15.9935755,0.08818326089421707,16.3171770625,16.059081,17.3224955,0.794655291864613,0.5767407499999999,0.4867205,0.982969,0.3176053300817108,2.1304716875,1.532478,3.93942375,1.0735676127653022,0.519598125,0.443937,0.7636725,0.24374230480593512,0.7785758125,0.7955205,0.853749,0.05502344191821649,10.32252475,10.348638999999999,10.47264125,0.09625356702838338,0.6851946874999999,0.628887,1.09317225,0.3115324047678907,0.066065625,0.0685805,0.07259,0.00687194816695928,9.605776500000001,9.6595645,11.806668250000001,1.788096883415717,1.3893055,1.2701605,1.77696825,0.22110209389329621,0.73626375,0.698982,0.83680875,0.06244383223095377,0.65304175,0.5728420000000001,0.98020525,0.18300927442396875,2.4957409999999998,2.5783885,3.820535,1.2785227835096449,8.216471,8.215847,10.531981250000001,1.9264962074705076,4194459.0,4194638.0
baseline,8388608,8.0,16,1024,91.0874186875,97.923944,100.22433025,9.29219492150588,83.47901693749999,89.48863,91.39703374999999,8.044151623485153,56.5970793125,56.6138015,61.24673025,3.900109544702137,26.767200312499998,26.5870785,27.657966000000002,0.4153526301678366,29.829879,30.027846500000003,34.59574825,3.6789820893209537,0.7971268125,0.7608685,0.99588675,0.11284608823261152,4.2824093125,4.5616699999999994,5.65746575,1.3489365074446944,1.196204,1.077224,1.93982725,0.40966045050688016,1.332521875,1.3525865,1.3875145,0.05760876181827181,21.158289500000002,20.9954635,21.984517500000003,0.4067601613998107,1.0412250625,1.0636695,1.28368,0.16236689899902193,0.0844835,0.0850335,0.09511425000000001,0.008626007999068862,20.7219888125,21.0441895,25.2709615,3.900985119211608,2.2087343749999997,2.151778,2.704816,0.24746550489610541,1.2659603750000001,1.249188,1.39141425,0.06787543042669691,0.942774,0.8981205000000001,1.3619255,0.20656010021722493,5.0299376875,5.3120495000000005,7.8620487500000005,2.7772527769763036,18.513254437500002,19.0115965,23.145274999999998,4.034087899499975,8388766.0,8388944.3125
baseline,16777216,16.0,16,2048,182.0254561875,180.5011245,209.75909175,17.930200590626455,166.6726293125,168.76776949999999,185.656375,16.010972689992563,99.2315253125,97.82251099999999,105.93701225,2.8213452623548374,49.533416125,48.3217465,56.52596675,2.812344315566749,49.6981091875,49.522741499999995,50.530364999999996,0.5254844228643002,1.3822418125,1.2950965,1.76029425,0.3146531725760164,8.9589035625,6.230781,20.429116999999998,4.965420615450127,2.5664370624999995,2.3061949999999998,4.039736749999999,0.7231828791221716,2.4450675625000002,2.442253,2.58191175,0.07452880012616665,43.827602375,42.6767385,50.805552500000005,2.8034916110590316,2.9256624374999998,2.5921635,4.94658975,1.046220556006773,0.1032135625,0.0999195,0.126847,0.015920383537970866,52.2436251875,54.838842,66.12214175,11.451205084669855,4.534534,4.025195999999999,7.26155225,1.1678506946890728,2.2764075625,2.297687,2.44858675,0.13367884059284066,2.2581264374999996,1.7104089999999998,5.11288725,1.1735508183435734,12.163085875,13.5492235,15.933437,4.085918532800609,47.7090911875,50.661927000000006,60.709039,11.135368354041045,16777374.0,16777552.375
baseline,33554432,32.0,16,4096,456.11970268749997,455.7887925,516.2718795000001,38.6473365413204,411.04331475,408.2190435,467.63566050000003,35.97288091341902,213.4867071875,205.424197,245.2141155,30.216154936370327,103.975277125,104.43040049999999,111.0524945,5.661846705538772,109.5114300625,104.3463695,138.7850455,27.85679999602373,2.6306408125000003,2.4086625,3.58614575,0.79481212485642,32.0852713125,33.5975335,40.56785225,7.551361575566834,5.32730825,5.4078865,6.390473,0.9342880658169287,5.032985812500001,4.924344,5.518622499999999,0.3731731956314352,98.13968793750001,98.71801,105.30656024999999,5.730301961835415,6.2105781874999995,5.471743,9.8291285,1.680505766079003,0.13697631249999997,0.113816,0.22239925,0.06695094572868142,147.008857,148.856341,168.39686575000002,18.696582544682183,9.23843825,6.738493,22.517297499999998,5.34858470089902,4.6214811875,4.561225,4.93985775,0.20821718442026418,4.6169570625,2.140206,17.737476,5.301146693750884,44.1935830625,45.369575999999995,49.465165,4.566476949208991,137.77041874999998,137.7500245,161.79752925000003,18.934380566576277,33554592.0,33554772.25
