topology,isl,osl,requested_concurrency,actual_batch_size,batch_id,phase,capture_first_prefill,representative_token_idx,representative_context_len,representative_queue_ms,raw_activation_bytes_each_direction,enterprise_front_prefill_ms,enterprise_front_decode_ms,cloud_middle_prefill_ms,cloud_middle_decode_ms,enterprise_back_prefill_ms,enterprise_back_decode_ms,upload_bytes,download_bytes,upload_ms,download_ms,rpc_wall_ms,cloud_queue_ms,enterprise_stage_pack_ms,enterprise_receive_ms,cloud_receive_ms,cloud_d2h_ms,step_wall_ms
tp_1_1,512,128,1,1,0eb7e45a9aba409ab550e3270c0ef43a,prefill,True,0,512,0.16319800124620087,4194304,13.252960205078125,,37.31180953979492,,7.376863956451416,,4194600,4194776,98.431933,90.201171,246.66455700207734,0.30491099823848344,7.949235998239601,0.5895360112190247,0.505952000617981,2.3628010021639057,278.09328500006814
tp_1_1,512,128,1,1,da21412769004f418864076a4c1bf7d2,decode,False,1,513,0.125790000311099,8192,,2.6928000450134277,,14.33523178100586,,4.3324480056762695,8477,8657,5.65007,5.479757,26.60319699862157,0.07236699821078219,0.1121179993788246,0.1042879968881607,0.08256000280380249,0.0746810001146514,34.920718000648776
tp_1_1,512,128,1,1,4b173c4483eb4fc984e9e039f28b7d35,decode,False,2,514,0.08896200233721174,8192,,2.5200319290161133,,13.97539234161377,,4.285791873931885,8477,8659,5.509425,5.403502,25.78468099818565,0.056935998145490885,0.10375900092185475,0.10118400305509567,0.07280000299215317,0.06600199776585214,33.77078400080791
tp_1_1,512,128,1,1,605de541b35a4969be6ffce064398917,decode,False,3,515,0.0811829995654989,8192,,2.4428799152374268,,13.822175979614258,,4.265471935272217,8477,8658,5.439158,5.400207,25.539113998092944,0.03909400038537569,0.10305000250809826,0.0995199978351593,0.0732479989528656,0.06724899867549539,33.38358900145977
tp_1_1,512,128,1,1,4c180208d8b04c1bb98ba3991ee754a4,decode,False,4,516,0.096314000984421,8192,,2.4329919815063477,,13.819295883178711,,4.302847862243652,8477,8658,5.445143,5.398977,25.550834001478506,0.0386930005333852,0.10091199874295853,0.10175999999046326,0.07280000299215317,0.06765600119251758,33.44862800076953
tp_1_1,512,128,1,1,5cf5d26506b440d48baf28a9867a2e20,decode,False,5,517,0.0852129996928852,8192,,2.488287925720215,,13.772480010986328,,4.203487873077393,8477,8660,5.421623,5.382112,25.434652001422364,0.047669000196037814,0.1026699974318035,0.0995199978351593,0.07267200201749802,0.07629900210304186,33.265808000578545
tp_1_1,512,128,1,1,298d0f984aac4429be7e008c078b4c86,decode,False,6,518,0.0780830014264211,8192,,2.4408318996429443,,16.763967514038086,,4.267199993133545,8477,8659,5.442572,5.405776,28.53572499952861,0.03304699930595234,0.09759399836184457,0.09910400211811066,0.07372800260782242,0.09676000263425522,36.39153699987219
tp_1_1,512,128,1,1,04ea11eb8dd84f7ea86a7557d9d13b51,decode,False,7,519,0.07689300036872737,8192,,2.451103925704956,,13.759200096130371,,4.202816009521484,8477,8660,5.426568,5.365696,25.465626000368502,0.030368999432539567,0.11120099952677265,0.10016000270843506,0.0801599994301796,0.08386800254811533,33.2692349984427
tp_1_1,512,128,1,1,203e0a87f6014f0db457193f4615c081,decode,False,8,520,0.15210300261969678,8192,,2.4745919704437256,,13.81488037109375,,4.262879848480225,8477,8657,5.419872,5.39082,25.44990400201641,0.03841600118903443,0.09989499812945724,0.10809600353240967,0.07100799679756165,0.0673120011924766,33.37085399834905
tp_1_1,512,128,1,1,cf1f444129bd4f68b68c7a18667cb048,decode,False,9,521,0.08463099948130548,8192,,2.4111039638519287,,13.741503715515137,,4.377408027648926,8477,8659,5.429721,5.380301,25.392063998879166,0.03350300175952725,0.10201899931416847,0.1008640006184578,0.07414399832487106,0.07828600064385682,33.30308899967349
