variant,concurrency,server_max_active,completed_qps,requests,duration_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms
baseline,1,8,0.29957816459308506,20,66.76053986499937,806.4720227999715,834.4687986193276,32.43257268782028,34.00241597871662
baseline,2,8,0.4760509130357111,20,42.012313078999796,1218.5852988000988,1648.3484464689718,38.22551867692243,43.529417863971666
baseline,4,8,0.6657207880696372,20,30.042625013998986,1937.364228450042,3160.851758980025,48.48231887371862,64.0347348869331
baseline,8,16,0.9300774622071297,56,60.21003870700042,3297.1079453392836,6141.5252229006,67.88870954235311,103.61703668526481
baseline,12,16,1.0325199278236759,72,69.73231030200077,4776.492130166818,8940.873848190531,87.56271516310375,140.6798123469131
baseline,16,16,1.0914545875958934,96,87.95601859300041,6331.412125239752,11828.050551051272,106.97518356290027,179.17562731731195
stage123,1,8,0.3318204111153789,20,60.27356765900004,447.43966475025445,465.01711080101813,32.86518425769104,33.11034312025069
stage123,2,8,0.5794259714556643,20,34.51692016799825,552.0181814497846,565.8395117901273,37.22912172756762,37.49516494052935
stage123,4,8,0.9332868454444858,28,30.001494328000263,544.6852561783869,605.5294156896343,45.92808789514896,47.12795848166001
stage123,8,16,1.4263848331756914,86,60.29228438199971,563.8824918837071,636.3447496997651,64.28484468574763,70.04319480897371
stage123,12,16,1.7469396853791272,105,60.10510888200042,556.0731963142773,603.2919402400148,80.55794048022007,82.67836247640867
stage123,16,16,1.965151247487751,118,60.04626877999908,550.9480486525255,568.2405693209694,96.42002340634316,97.73019955281387
